domain,metric,test,comparison,condition_a,condition_b,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,significant_p_lt_05,stars,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,n_conditions,conditions_included,mcnemar_b_over_c
Tomato,SAGAT3,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,5,4.5,0.5625,1,no,,-0.4,-0.3,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,6,6,0.53125,1,no,,-0.428571,-0.25,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,7,3.5,0.109375,1,no,,-0.75,-0.428571,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,9,18,0.78125,1,no,,0.2,0.111111,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,6,10.5,1,1,no,,0,0,0,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,4,2,0.5,1,no,,-0.6,-0.375,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,9,10,0.179688,1,no,,0.555556,0.277778,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,3,0,0.25,1,no,,-1,-0.5,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,7,4,0.125,1,no,,0.714286,0.357143,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT3,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,8,0,0.0078125,0.078125,no,,1,0.5,0.5,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,5,1,0.125,1,no,,0.866667,1.6,2,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,5,5,0.75,1,no,,-0.333333,-0.4,-1,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,6,6,0.34375,1,no,,0.428571,0.5,0.5,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,5,6,1,1,no,,-0.2,-0.2,-1,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,7,2,0.0625,0.625,no,,-0.857143,-1.42857,-2,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,4,0,0.125,1,no,,-1,-1.25,-1,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,9,7,0.0859375,0.859375,no,,-0.688889,-1,-1,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,7,7.5,0.375,1,no,,0.464286,0.714286,1,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,6,10,1,1,no,,0.047619,0.166667,0,5,"C1,C2,C3,C4,C5",
Tomato,Fatigue,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,6,5,0.34375,1,no,,-0.52381,-0.666667,-1,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,11,10,0.0419922,0.419922,no,,0.69697,0.530304,0.33334,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,10,0,0.00195312,0.0195312,yes,*,1,0.383333,0.33333,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,9,0,0.00390625,0.0390625,yes,*,1,0.537039,0.33334,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,12,3.5,0.00292969,0.0292969,yes,*,0.910256,0.402779,0.333335,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,11,21.5,0.333984,1,no,,-0.348485,-0.181819,-0.16667,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,9,17.5,0.589844,1,no,,-0.222222,-0.11111,-0.16667,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,12,30,0.518066,1,no,,-0.230769,-0.0833325,-0.25,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,9,17,0.582031,1,no,,0.244444,0.111113,-0.16666,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,7,7.5,0.34375,1,no,,0.464286,0.14286,0.33334,5,"C1,C2,C3,C4,C5",
Tomato,NASA-RTLX,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,11,33,1,1,no,,0,2.01859e-17,0.16666,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,10,20.5,0.507812,1,no,,0.254545,0.08,0.15,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,10,20.5,0.503906,1,no,,0.254545,0.19,-2.22045e-16,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,9,14,0.355469,1,no,,0.377778,0.266667,0.1,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,12,17,0.0908203,0.908203,no,,0.564103,0.241667,0.3,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,12,27.5,0.38623,1,no,,-0.294872,0.0916667,-0.15,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,9,12,0.253906,1,no,,0.466667,0.177778,0.1,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,10,22,0.609375,1,no,,0.2,0.21,0,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,10,19,0.421875,1,no,,0.309091,0.05,0.1,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,11,23.5,0.431641,1,no,,0.287879,0.0909091,0.1,5,"C1,C2,C3,C4,C5",
Tomato,SART,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,10,23.5,0.71875,1,no,,0.145455,0.05,0.05,5,"C1,C2,C3,C4,C5",
