subject,domain,condition,condition_short,metric,value
p003,Waste,C4: Ours2,C4,SART,3.4
p004,Waste,C4: Ours2,C4,조작성공률 (%),100
p004,Waste,C4: Ours2,C4,조작시간 (s),6
p004,Waste,C4: Ours2,C4,SAGAT1,1
p004,Waste,C4: Ours2,C4,SAGAT2,0
p004,Waste,C4: Ours2,C4,SAGAT3,1
p004,Waste,C4: Ours2,C4,Fatigue,5
p004,Waste,C4: Ours2,C4,NASA-RTLX,3.5
p004,Waste,C4: Ours2,C4,SART,3.1
p001,Tomato,C4: Ours2,C4,조작성공률 (%),0
p001,Tomato,C4: Ours2,C4,조작시간 (s),24
p001,Tomato,C4: Ours2,C4,SAGAT1,1
p001,Tomato,C4: Ours2,C4,SAGAT2,1
p001,Tomato,C4: Ours2,C4,SAGAT3,1
p001,Tomato,C4: Ours2,C4,Fatigue,3
p001,Tomato,C4: Ours2,C4,NASA-RTLX,2.33333
p001,Tomato,C4: Ours2,C4,SART,3.1
p002,Tomato,C4: Ours2,C4,조작성공률 (%),100
p002,Tomato,C4: Ours2,C4,조작시간 (s),12
p002,Tomato,C4: Ours2,C4,SAGAT1,0.5
p002,Tomato,C4: Ours2,C4,SAGAT2,0
p002,Tomato,C4: Ours2,C4,SAGAT3,1
p002,Tomato,C4: Ours2,C4,Fatigue,1
p002,Tomato,C4: Ours2,C4,NASA-RTLX,1
p002,Tomato,C4: Ours2,C4,SART,3.2
p003,Tomato,C4: Ours2,C4,조작성공률 (%),100
p003,Tomato,C4: Ours2,C4,SAGAT1,0.5
p003,Tomato,C4: Ours2,C4,SAGAT2,1
p003,Tomato,C4: Ours2,C4,SAGAT3,1
p003,Tomato,C4: Ours2,C4,Fatigue,3
p003,Tomato,C4: Ours2,C4,NASA-RTLX,2.16667
p003,Tomato,C4: Ours2,C4,SART,3.2
p004,Tomato,C4: Ours2,C4,조작성공률 (%),100
p004,Tomato,C4: Ours2,C4,조작시간 (s),12
p004,Tomato,C4: Ours2,C4,SAGAT1,0.5
p004,Tomato,C4: Ours2,C4,SAGAT2,0.5
p004,Tomato,C4: Ours2,C4,SAGAT3,1
p004,Tomato,C4: Ours2,C4,Fatigue,3
p004,Tomato,C4: Ours2,C4,NASA-RTLX,2.66667
p004,Tomato,C4: Ours2,C4,SART,3
p001,Waste,C5: KnowNo,C5,조작성공률 (%),0
p001,Waste,C5: KnowNo,C5,조작시간 (s),19
p001,Waste,C5: KnowNo,C5,SAGAT1,0.5
p001,Waste,C5: KnowNo,C5,SAGAT2,0.5
p001,Waste,C5: KnowNo,C5,SAGAT3,0.5
p001,Waste,C5: KnowNo,C5,Fatigue,4
p001,Waste,C5: KnowNo,C5,NASA-RTLX,2.66667
p001,Waste,C5: KnowNo,C5,SART,3.8
p002,Waste,C5: KnowNo,C5,조작성공률 (%),0
p002,Waste,C5: KnowNo,C5,조작시간 (s),15
p002,Waste,C5: KnowNo,C5,SAGAT1,1
p002,Waste,C5: KnowNo,C5,SAGAT2,0
p002,Waste,C5: KnowNo,C5,SAGAT3,0.5
p002,Waste,C5: KnowNo,C5,Fatigue,1
p002,Waste,C5: KnowNo,C5,NASA-RTLX,1
p002,Waste,C5: KnowNo,C5,SART,3.4
p003,Waste,C5: KnowNo,C5,조작성공률 (%),100
p003,Waste,C5: KnowNo,C5,SAGAT1,1
p003,Waste,C5: KnowNo,C5,SAGAT2,0
p003,Waste,C5: KnowNo,C5,SAGAT3,0.5
p003,Waste,C5: KnowNo,C5,Fatigue,2
p003,Waste,C5: KnowNo,C5,NASA-RTLX,2.33333
p003,Waste,C5: KnowNo,C5,SART,3.3
p004,Waste,C5: KnowNo,C5,조작성공률 (%),0
p004,Waste,C5: KnowNo,C5,조작시간 (s),17
p004,Waste,C5: KnowNo,C5,SAGAT1,1
p004,Waste,C5: KnowNo,C5,SAGAT2,0
p004,Waste,C5: KnowNo,C5,SAGAT3,1
p004,Waste,C5: KnowNo,C5,Fatigue,5
p004,Waste,C5: KnowNo,C5,NASA-RTLX,4.16667
p004,Waste,C5: KnowNo,C5,SART,2.9
p001,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p001,Tomato,C5: KnowNo,C5,조작시간 (s),60
p001,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p001,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p001,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p001,Tomato,C5: KnowNo,C5,Fatigue,5
p001,Tomato,C5: KnowNo,C5,NASA-RTLX,2.16667
p001,Tomato,C5: KnowNo,C5,SART,3.4
p002,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p002,Tomato,C5: KnowNo,C5,조작시간 (s),27
p002,Tomato,C5: KnowNo,C5,SAGAT1,1
p002,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p002,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p002,Tomato,C5: KnowNo,C5,Fatigue,1
p002,Tomato,C5: KnowNo,C5,NASA-RTLX,1.5
p002,Tomato,C5: KnowNo,C5,SART,3.3
p003,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p003,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p003,Tomato,C5: KnowNo,C5,SAGAT2,1
p003,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p003,Tomato,C5: KnowNo,C5,Fatigue,3
p003,Tomato,C5: KnowNo,C5,NASA-RTLX,1.83333
p003,Tomato,C5: KnowNo,C5,SART,3.2
p004,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p004,Tomato,C5: KnowNo,C5,조작시간 (s),5
p004,Tomato,C5: KnowNo,C5,SAGAT1,1
p004,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p004,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p004,Tomato,C5: KnowNo,C5,Fatigue,5
p004,Tomato,C5: KnowNo,C5,NASA-RTLX,3.33333
p004,Tomato,C5: KnowNo,C5,SART,3.3
p005,Waste,C1: All,C1,조작성공률 (%),100
p005,Waste,C1: All,C1,조작시간 (s),31
p005,Waste,C1: All,C1,SAGAT1,1
p005,Waste,C1: All,C1,SAGAT2,0
p005,Waste,C1: All,C1,SAGAT3,0.5
p005,Waste,C1: All,C1,Fatigue,2
p005,Waste,C1: All,C1,NASA-RTLX,1.5
p005,Waste,C1: All,C1,SART,4.2
p006,Waste,C1: All,C1,조작성공률 (%),100
p006,Waste,C1: All,C1,조작시간 (s),14
p006,Waste,C1: All,C1,SAGAT1,1
p006,Waste,C1: All,C1,SAGAT2,1
p006,Waste,C1: All,C1,SAGAT3,0.5
p006,Waste,C1: All,C1,Fatigue,1
p006,Waste,C1: All,C1,NASA-RTLX,2.83333
p006,Waste,C1: All,C1,SART,1.6
p007,Waste,C1: All,C1,조작성공률 (%),100
p007,Waste,C1: All,C1,SAGAT1,1
p007,Waste,C1: All,C1,SAGAT2,1
p007,Waste,C1: All,C1,SAGAT3,0.5
p007,Waste,C1: All,C1,Fatigue,1
p007,Waste,C1: All,C1,NASA-RTLX,1
p007,Waste,C1: All,C1,SART,2.1
p008,Waste,C1: All,C1,조작성공률 (%),100
p008,Waste,C1: All,C1,조작시간 (s),34
p008,Waste,C1: All,C1,SAGAT1,0.5
p008,Waste,C1: All,C1,SAGAT2,0
p008,Waste,C1: All,C1,SAGAT3,0.5
p008,Waste,C1: All,C1,Fatigue,1
p008,Waste,C1: All,C1,NASA-RTLX,2.33333
p008,Waste,C1: All,C1,SART,3.3
p005,Tomato,C1: All,C1,조작성공률 (%),0
p005,Tomato,C1: All,C1,조작시간 (s),15
p005,Tomato,C1: All,C1,SAGAT1,1
p005,Tomato,C1: All,C1,SAGAT2,0.5
p005,Tomato,C1: All,C1,SAGAT3,0.5
p005,Tomato,C1: All,C1,Fatigue,3
p005,Tomato,C1: All,C1,NASA-RTLX,1.66667
p005,Tomato,C1: All,C1,SART,4.3
p006,Tomato,C1: All,C1,조작성공률 (%),100
p006,Tomato,C1: All,C1,조작시간 (s),32
p006,Tomato,C1: All,C1,SAGAT1,1
p006,Tomato,C1: All,C1,SAGAT2,0
p006,Tomato,C1: All,C1,SAGAT3,1
p006,Tomato,C1: All,C1,Fatigue,1
p006,Tomato,C1: All,C1,NASA-RTLX,1.83333
p006,Tomato,C1: All,C1,SART,1.7
