figure,domain,metric,comparison,condition_a,condition_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,conditions_included
figures/waste_fatigue.png,Waste,Fatigue,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,11,22,0.345703,1,-0.333333,-0.545455,-1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,7,10,0.59375,1,-0.285714,-0.285714,-1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,11,19,0.216797,1,-0.424242,-0.727273,-1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,7,7,0.359375,1,0.5,0.571429,1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,5,5,0.75,1,-0.333333,-0.4,-1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,8,7,0.171875,1,-0.611111,-0.75,-1,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,7,3,0.078125,0.78125,0.785714,0.690474,0.5,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,10,19,0.414062,1,-0.309091,-0.25,-0.25,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,7,9,0.46875,1,0.357143,0.285713,0.16667,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,10,8.5,0.0507812,0.507812,-0.690909,-0.583333,-0.75,"C1,C2,C3,C4,C5"
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,11,9,0.0292969,0.292969,-0.727273,-0.666665,-0.5,"C1,C2,C3,C4,C5"
