figure,domain,metric,condition,condition_short,plotted,n,mean,sd,se
figures/tomato_sagat3.png,Tomato,SAGAT3,C2: No,C2,yes,12,0.833333,0.325669,0.0940127
figures/tomato_sagat3.png,Tomato,SAGAT3,C3: Ours1,C3,yes,12,0.833333,0.246183,0.0710669
figures/tomato_sagat3.png,Tomato,SAGAT3,C4: Ours2,C4,yes,12,0.958333,0.144338,0.0416667
figures/tomato_sagat3.png,Tomato,SAGAT3,C5: KnowNo,C5,yes,12,0.625,0.226134,0.0652791
figures/tomato_fatigue.png,Tomato,Fatigue,C1: All,C1,yes,12,2.83333,1.58592,0.457817
figures/tomato_fatigue.png,Tomato,Fatigue,C2: No,C2,yes,12,2.16667,1.11464,0.321769
figures/tomato_fatigue.png,Tomato,Fatigue,C3: Ours1,C3,yes,12,3,1.65145,0.476731
figures/tomato_fatigue.png,Tomato,Fatigue,C4: Ours2,C4,yes,12,2.58333,1.24011,0.35799
figures/tomato_fatigue.png,Tomato,Fatigue,C5: KnowNo,C5,yes,12,2.91667,1.72986,0.499368
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C1: All,C1,yes,12,2.20833,0.838243,0.24198
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C2: No,C2,yes,12,1.72222,0.644845,0.186151
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C3: Ours1,C3,yes,12,1.88889,0.679176,0.196061
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C4: Ours2,C4,yes,12,1.80556,0.506689,0.146269
figures/tomato_nasa_rtlx.png,Tomato,NASA-RTLX,C5: KnowNo,C5,yes,12,1.80556,0.585314,0.168966
figures/tomato_sart.png,Tomato,SART,C1: All,C1,yes,12,3.25833,0.869125,0.250895
figures/tomato_sart.png,Tomato,SART,C2: No,C2,yes,12,3.19167,0.512495,0.147945
figures/tomato_sart.png,Tomato,SART,C3: Ours1,C3,yes,12,3.1,0.823518,0.237729
figures/tomato_sart.png,Tomato,SART,C4: Ours2,C4,yes,12,3.05833,0.575971,0.166268
figures/tomato_sart.png,Tomato,SART,C5: KnowNo,C5,yes,12,3.01667,0.813336,0.23479
