global_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed_mode,max_step
189,wastesorting,05,0.8,oracle,0.0,random,50
190,wastesorting,05,0.8,oracle,0.0,random,50
191,wastesorting,05,0.8,oracle,0.0,random,50
192,wastesorting,05,0.8,oracle,0.0,random,50
193,wastesorting,05,0.8,oracle,0.0,random,50
194,wastesorting,05,0.8,oracle,0.0,random,50
195,wastesorting,05,0.8,oracle,0.0,random,50
196,wastesorting,05,0.8,oracle,0.0,random,50
197,wastesorting,05,0.8,oracle,0.0,random,50
198,wastesorting,05,0.8,oracle,0.0,random,50
199,wastesorting,05,0.8,oracle,0.0,random,50
200,wastesorting,05,0.8,oracle,0.0,random,50
201,tomato,01,0.8,oracle,0.0,random,50
202,tomato,01,0.8,oracle,0.0,random,50
203,tomato,01,0.8,oracle,0.0,random,50
204,tomato,01,0.8,oracle,0.0,random,50
205,tomato,01,0.8,oracle,0.0,random,50
206,tomato,01,0.8,oracle,0.0,random,50
207,tomato,01,0.8,oracle,0.0,random,50
208,tomato,01,0.8,oracle,0.0,random,50
209,tomato,01,0.8,oracle,0.0,random,50
210,tomato,01,0.8,oracle,0.0,random,50
211,tomato,01,0.8,oracle,0.0,random,50
212,tomato,01,0.8,oracle,0.0,random,50
213,tomato,01,0.8,oracle,0.0,random,50
214,tomato,01,0.8,oracle,0.0,random,50
215,tomato,01,0.8,oracle,0.0,random,50
216,tomato,01,0.8,oracle,0.0,random,50
217,tomato,01,0.8,oracle,0.0,random,50
218,tomato,01,0.8,oracle,0.0,random,50
219,tomato,01,0.8,oracle,0.0,random,50
220,tomato,01,0.8,oracle,0.0,random,50
221,tomato,01,0.8,oracle,0.0,random,50
222,tomato,01,0.8,oracle,0.0,random,50
223,tomato,01,0.8,oracle,0.0,random,50
224,tomato,01,0.8,oracle,0.0,random,50
225,tomato,01,0.8,oracle,0.0,random,50
226,tomato,01,0.8,oracle,0.0,random,50
227,tomato,01,0.8,oracle,0.0,random,50
228,tomato,01,0.8,oracle,0.0,random,50
229,tomato,01,0.8,oracle,0.0,random,50
230,tomato,01,0.8,oracle,0.0,random,50
231,tomato,01,0.8,oracle,0.0,random,50
232,tomato,01,0.8,oracle,0.0,random,50
233,tomato,01,0.8,oracle,0.0,random,50
234,tomato,01,0.8,oracle,0.0,random,50
235,tomato,01,0.8,oracle,0.0,random,50
236,tomato,01,0.8,oracle,0.0,random,50
237,tomato,01,0.8,oracle,0.0,random,50
238,tomato,01,0.8,oracle,0.0,random,50
239,tomato,01,0.8,oracle,0.0,random,50
240,tomato,01,0.8,oracle,0.0,random,50
241,tomato,02,0.8,oracle,0.0,random,50
242,tomato,02,0.8,oracle,0.0,random,50
243,tomato,02,0.8,oracle,0.0,random,50
244,tomato,02,0.8,oracle,0.0,random,50
245,tomato,02,0.8,oracle,0.0,random,50
246,tomato,02,0.8,oracle,0.0,random,50
247,tomato,02,0.8,oracle,0.0,random,50
248,tomato,02,0.8,oracle,0.0,random,50
249,tomato,02,0.8,oracle,0.0,random,50
250,tomato,02,0.8,oracle,0.0,random,50
251,tomato,02,0.8,oracle,0.0,random,50
252,tomato,02,0.8,oracle,0.0,random,50
253,tomato,02,0.8,oracle,0.0,random,50
254,tomato,02,0.8,oracle,0.0,random,50
255,tomato,02,0.8,oracle,0.0,random,50
256,tomato,02,0.8,oracle,0.0,random,50
257,tomato,02,0.8,oracle,0.0,random,50
258,tomato,02,0.8,oracle,0.0,random,50
259,tomato,02,0.8,oracle,0.0,random,50
