domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_161038.txt,2026-06-16 16:10:38,gpt-4o,v2,1949050811,0.92,True,success,10,10,4,6,0,0,5.0,5.0,1.4,2.0,28.682913865995943,7866,2452,10318
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_161839.txt,2026-06-16 16:18:39,gpt-4o,v2,3490845487,0.92,False,Dead-end: true can waste waste1 was placed into plastic bin.,3,3,0,3,0,0,5.0,0.0,1.0,0.0,5.719139607987017,2311,687,2998
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_161849.txt,2026-06-16 16:18:49,gpt-4o,v2,2501204862,0.92,True,success,11,11,5,6,0,0,5.0,5.0,1.6363636363636365,2.4,29.232096671999898,8691,2732,11423
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_161923.txt,2026-06-16 16:19:23,gpt-4o,v2,266472032,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.4,2.3333333333333335,26.71732997801155,7896,2480,10376
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_161953.txt,2026-06-16 16:19:53,gpt-4o,v2,759709778,0.92,False,Dead-end: true paper waste waste3 was placed into general bin.,7,7,1,6,0,0,5.0,5.0,1.1428571428571428,2.0,12.738321297001676,5497,1705,7202
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_162016.txt,2026-06-16 16:20:16,gpt-4o,v2,2173298384,0.92,False,Dead-end: true paper waste waste3 was placed into can bin.,7,7,2,5,0,0,5.0,5.0,1.4285714285714286,2.5,21.498102131998166,5497,1705,7202
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260617_133725.txt,2026-06-17 13:37:25,gpt-4o,v2,2344356007,0.92,False,Dead-end: true can waste waste1 was placed into general bin.,3,3,1,2,0,0,5.0,5.0,1.6666666666666667,3.0,12.26390240501496,2313,690,3003
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260617_133810.txt,2026-06-17 13:38:10,gpt-4o,v2,2500193442,0.92,False,Dead-end: true can waste waste1 was placed into general bin.,3,3,1,2,0,0,5.0,5.0,1.3333333333333333,2.0,7.244914181006607,2311,687,2998
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260617_133826.txt,2026-06-17 13:38:26,gpt-4o,v2,992477694,0.92,True,success,10,10,4,6,0,0,5.0,5.0,1.4,2.0,26.399068297003396,7894,2477,10371
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260617_133903.txt,2026-06-17 13:39:03,gpt-4o,v2,992477694,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.3,2.0,25.353434078017017,7893,2477,10370
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_154502.txt,2026-06-16 15:45:02,gpt-4o,v2,1281162660,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.3,2.0,25.85688944600406,7863,2446,10309
wastesorting,scene_03,scripts/baseline/logs/waste/scene_03/knowno_wastesorting_20260616_161112.txt,2026-06-16 16:11:12,gpt-4o,v2,4035232,0.92,False,Dead-end: true plastic waste waste1 was placed into can bin.,3,3,1,2,0,0,5.0,5.0,1.6666666666666667,3.0,9.03115598698787,2311,687,2998
