domain,condition,scene,iteration,seed,threshold,random_query_prob
tomato,random,2,33,4007070013,0.8,0.4
tomato,ours-when-only,2,33,4007070013,0.8,0.4
tomato,ours-what-only,2,33,4007070013,0.8,0.4
tomato,ours,2,33,4007070013,0.8,0.4
tomato,random,2,34,2886041855,0.8,0.4
tomato,ours-when-only,2,34,2886041855,0.8,0.4
tomato,ours-what-only,2,34,2886041855,0.8,0.4
tomato,ours,2,34,2886041855,0.8,0.4
tomato,random,2,35,2293168667,0.8,0.4
tomato,ours-when-only,2,35,2293168667,0.8,0.4
tomato,ours-what-only,2,35,2293168667,0.8,0.4
tomato,ours,2,35,2293168667,0.8,0.4
tomato,random,2,36,3887351210,0.8,0.4
tomato,ours-when-only,2,36,3887351210,0.8,0.4
tomato,ours-what-only,2,36,3887351210,0.8,0.4
tomato,ours,2,36,3887351210,0.8,0.4
tomato,random,2,37,2318091321,0.8,0.4
tomato,ours-when-only,2,37,2318091321,0.8,0.4
tomato,ours-what-only,2,37,2318091321,0.8,0.4
tomato,ours,2,37,2318091321,0.8,0.4
tomato,random,2,38,1919828458,0.8,0.4
tomato,ours-when-only,2,38,1919828458,0.8,0.4
tomato,ours-what-only,2,38,1919828458,0.8,0.4
tomato,ours,2,38,1919828458,0.8,0.4
tomato,random,2,39,1477592928,0.8,0.4
tomato,ours-when-only,2,39,1477592928,0.8,0.4
tomato,ours-what-only,2,39,1477592928,0.8,0.4
tomato,ours,2,39,1477592928,0.8,0.4
tomato,random,2,40,742004455,0.8,0.4
tomato,ours-when-only,2,40,742004455,0.8,0.4
tomato,ours-what-only,2,40,742004455,0.8,0.4
tomato,ours,2,40,742004455,0.8,0.4
tomato,random,3,1,2973460405,0.8,0.4
tomato,ours-when-only,3,1,2973460405,0.8,0.4
tomato,ours-what-only,3,1,2973460405,0.8,0.4
tomato,ours,3,1,2973460405,0.8,0.4
tomato,random,3,2,2984508209,0.8,0.4
tomato,ours-when-only,3,2,2984508209,0.8,0.4
tomato,ours-what-only,3,2,2984508209,0.8,0.4
tomato,ours,3,2,2984508209,0.8,0.4
tomato,random,3,3,3328359470,0.8,0.4
tomato,ours-when-only,3,3,3328359470,0.8,0.4
tomato,ours-what-only,3,3,3328359470,0.8,0.4
tomato,ours,3,3,3328359470,0.8,0.4
tomato,random,3,4,2542173252,0.8,0.4
tomato,ours-when-only,3,4,2542173252,0.8,0.4
tomato,ours-what-only,3,4,2542173252,0.8,0.4
tomato,ours,3,4,2542173252,0.8,0.4
tomato,random,3,5,1895575310,0.8,0.4
tomato,ours-when-only,3,5,1895575310,0.8,0.4
tomato,ours-what-only,3,5,1895575310,0.8,0.4
tomato,ours,3,5,1895575310,0.8,0.4
tomato,random,3,6,3142806667,0.8,0.4
tomato,ours-when-only,3,6,3142806667,0.8,0.4
tomato,ours-what-only,3,6,3142806667,0.8,0.4
tomato,ours,3,6,3142806667,0.8,0.4
tomato,random,3,7,1700967682,0.8,0.4
tomato,ours-when-only,3,7,1700967682,0.8,0.4
tomato,ours-what-only,3,7,1700967682,0.8,0.4
tomato,ours,3,7,1700967682,0.8,0.4
tomato,random,3,8,3374813224,0.8,0.4
tomato,ours-when-only,3,8,3374813224,0.8,0.4
tomato,ours-what-only,3,8,3374813224,0.8,0.4
tomato,ours,3,8,3374813224,0.8,0.4
tomato,random,3,9,2230064310,0.8,0.4
tomato,ours-when-only,3,9,2230064310,0.8,0.4
tomato,ours-what-only,3,9,2230064310,0.8,0.4
tomato,ours,3,9,2230064310,0.8,0.4
tomato,random,3,10,2370079434,0.8,0.4
tomato,ours-when-only,3,10,2370079434,0.8,0.4
tomato,ours-what-only,3,10,2370079434,0.8,0.4
tomato,ours,3,10,2370079434,0.8,0.4
tomato,random,3,11,3620707437,0.8,0.4
tomato,ours-when-only,3,11,3620707437,0.8,0.4
tomato,ours-what-only,3,11,3620707437,0.8,0.4
tomato,ours,3,11,3620707437,0.8,0.4
tomato,random,3,12,1447435166,0.8,0.4
tomato,ours-when-only,3,12,1447435166,0.8,0.4
tomato,ours-what-only,3,12,1447435166,0.8,0.4
tomato,ours,3,12,1447435166,0.8,0.4
tomato,random,3,13,975151081,0.8,0.4
tomato,ours-when-only,3,13,975151081,0.8,0.4
tomato,ours-what-only,3,13,975151081,0.8,0.4
tomato,ours,3,13,975151081,0.8,0.4
tomato,random,3,14,3909183007,0.8,0.4
tomato,ours-when-only,3,14,3909183007,0.8,0.4
tomato,ours-what-only,3,14,3909183007,0.8,0.4
tomato,ours,3,14,3909183007,0.8,0.4
tomato,random,3,15,3611211411,0.8,0.4
tomato,ours-when-only,3,15,3611211411,0.8,0.4
tomato,ours-what-only,3,15,3611211411,0.8,0.4
tomato,ours,3,15,3611211411,0.8,0.4
tomato,random,3,16,1454289978,0.8,0.4
