domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
tomato,0.8,0.1,200,0,0,97,3,47.0,2.630866896130179e-25,2.6308668961301788e-24,reference minus comparison,200,14.17,13.18951484966549,15.150485150334509,200,4.255,2.797274624257673,5.712725375742327,200,1.568165,1.0006905738426621,2.135639426157338,200,-1.475,-4.755380859954016,1.8053808599540164
tomato,0.8,0.2,200,0,0,94,3,45.5,1.9209583457473067e-24,1.571362053267177e-23,reference minus comparison,200,13.52,12.571248669798036,14.468751330201963,200,4.1,2.6367891749276273,5.563210825072372,200,1.5050975,0.9358035822559965,2.0743914177440033,200,-1.3,-4.556344209698605,1.9563442096986055
tomato,0.8,0.3,200,0,0,89,2,43.5,3.3822316648042255e-24,2.3675621653629578e-23,reference minus comparison,200,12.055,11.13840844747527,12.97159155252473,200,4.005,2.590114328954911,5.419885671045089,200,1.456273,0.9039989655331301,2.00854703446687,200,-1.35,-4.460407822885204,1.7604078228852043
tomato,0.8,0.4,200,0,0,31,3,14.0,7.660128176212311e-07,4.5960769057273865e-06,reference minus comparison,200,7.29,6.377377190389127,8.202622809610872,200,1.475,0.3371534882143048,2.6128465117856954,200,0.5606935,0.11308632699420701,1.0083006730057928,200,-0.875,-3.8381942888228564,2.0881942888228564
tomato,0.8,0.5,200,0,0,13,1,6.0,0.0018310546875,0.00732421875,reference minus comparison,200,6.245,5.537710924948274,6.952289075051726,200,1.095,0.44057359743119906,1.7494264025688009,200,0.423597,0.17023959857087168,0.6769544014291283,200,-1.75,-3.4611829709650586,-0.03881702903494144
tomato,0.8,0.6,200,0,0,13,1,6.0,0.0018310546875,0.00732421875,reference minus comparison,200,4.12,3.490078209629785,4.749921790370215,200,1.12,0.4694251111323299,1.7705748888676704,200,0.437259,0.18614439575286484,0.6883736042471351,200,-1.75,-3.4569473630559955,-0.04305263694400474
tomato,0.8,0.7,200,0,0,14,0,7.0,0.0001220703125,0.0006103515625,reference minus comparison,200,3.47,2.9555703108106157,3.9844296891893847,200,0.88,0.41449287318722255,1.3455071268127774,200,0.3226765,0.15047513904246393,0.49487786095753605,200,-0.9,-2.1246277986083175,0.3246277986083176
tomato,0.8,0.9,200,0,0,5,4,0.5,1.0,1.0,reference minus comparison,200,-1.62,-2.037869085246056,-1.202130914753944,200,0.58,-0.12000019426045905,1.280000194260459,200,0.274801,-0.008873245565378607,0.5584752455653786,200,-0.325,-2.3240656160888813,1.6740656160888812
tomato,0.8,1.0,200,0,0,3,8,-2.5,0.2265625,0.453125,reference minus comparison,200,-12.98,-14.027022362874957,-11.932977637125044,200,0.06,-1.0907267658691837,1.2107267658691838,200,0.10400200000000002,-0.3628684941211979,0.570872494121198,200,0.7,-2.5241737592457714,3.9241737592457717
wastesorting,0.8,0.0,200,0,0,88,0,44.0,6.462348535570529e-27,6.462348535570529e-26,reference minus comparison,200,13.34,12.79345180769919,13.88654819230081,200,1.645,1.0441992677619862,2.245800732238014,200,0.0984125,0.02629779601509309,0.1705272039849069,200,2.15,0.8218681586983603,3.4781318413016393
