,,,,,,,,,,,,,,,,,,,,,,
6월 1일,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
p011,,,,,,p005,,,,,,p006,,,,,,p002,,,,
R2(s5)-분리수거No,시간 종류,시작 시간,종료 시간,소요시간,,R2(s1),시간 종류,시작 시간,종료 시간,소요 시간,,T2(s5),시간 종류,시작 시간,종료 시간,소요 시간,,T5(s4),시간 종류,시작 시간,종료 시간,소요 시간
,총 설문 시간,,,0:02:08,,,총 설문 시간,,,0:01:22,,,총 설문 시간,,,0:01:33,,,총 설문 시간,,,0:01:16
,,,,,,,,,,,,,,,,,,,,,,
T2(s5),시간 종류,시작 시간,종료 시간,소요시간,,T1(s4),시간 종류,시작 시간,종료 시간,소요 시간,,R5(s5),시간 종류,시작 시간,종료 시간,소요 시간,,R5(s1),시간 종류,시작 시간,종료 시간,소요 시간
,조작,0:57:20,1:00:09,0:02:49,,,조작,0:52:29,0:56:23,0:03:54,,,조작,0:58:31,1:01:07,0:02:36,,,조작,0:56:48,0:58:22,0:01:34
,설문,1:00:13,1:02:28,0:02:15,,,설문,0:56:28,0:58:04,0:01:36,,,설문,1:01:14,1:02:41,0:01:27,,,설문,0:58:28,0:58:59,0:00:31
,조작,,,0:00:00,,,조작,,,0:00:00,,,조작,1:02:48,1:03:12,0:00:24,,,조작,0:59:07,1:00:10,0:01:03
,설문,,,0:00:00,,,설문,,,0:00:00,,,설문,1:03:22,1:03:48,0:00:26,,,설문,1:00:16,1:00:54,0:00:38
,총 조작 시간,,,0:02:49,,,총 조작 시간,,,0:03:54,,,총 조작 시간,,,0:03:00,,,총 조작 시간,,,0:02:37
,총 설문 시간,,,0:02:15,,,총 설문 시간,,,0:01:36,,,총 설문 시간,,,0:01:53,,,총 설문 시간,,,0:01:09
,,,,,,,,,,,,,,,,,,,,,,
T4(s4),시간 종류,시작 시간,종료 시간,소요시간,,T3(s3),시간 종류,시작 시간,종료 시간,소요 시간,,R4(s1),시간 종류,시작 시간,종료 시간,소요 시간,,R4(s2),시간 종류,시작 시간,종료 시간,소요 시간
,조작,1:02:50,1:05:27,0:02:37,,,조작,0:58:23,1:01:44,0:03:21,,,조작,1:04:10,1:06:38,0:02:28,,,조작,1:01:03,1:02:52,0:01:49
,설문,1:05:34,1:06:11,0:00:37,,,설문,1:01:49,1:02:13,0:00:24,,,설문,1:06:42,1:08:01,0:01:19,,,설문,1:02:58,1:03:36,0:00:38
,조작,1:06:19,1:07:30,0:01:11,,,조작,1:02:18,1:03:17,0:00:59,,,조작,1:08:06,1:08:18,0:00:12,,,조작,1:03:43,1:04:28,0:00:45
,설문,1:07:37,1:08:54,0:01:17,,,설문,1:03:29,1:04:12,0:00:43,,,설문,1:08:20,1:08:53,0:00:33,,,설문,1:04:34,1:05:18,0:00:44
,총 조작 시간,,,0:03:48,,,총 조작 시간,,,0:04:20,,,총 조작 시간,,,0:02:40,,,총 조작 시간,,,0:02:34
,총 설문 시간,,,0:01:54,,,총 설문 시간,,,0:01:07,,,총 설문 시간,,,0:01:52,,,총 설문 시간,,,0:01:22
,,,,,,,,,,,,,,,,,,,,,,
T3(s3),시간 종류,시작 시간,종료 시간,소요시간,,T5(s1),시간 종류,시작 시간,종료 시간,소요 시간,,R1(s4),시간 종류,시작 시간,종료 시간,소요 시간,good,R1(s5),시간 종류,시작 시간,종료 시간,소요 시간
,조작,1:09:20,1:12:18,0:02:58,,,조작,1:04:22,1:06:51,0:02:29,,,조작,1:09:15,1:11:56,0:02:41,,,조작,1:05:28,1:08:28,0:03:00
,설문,1:12:24,1:12:53,0:00:29,,,설문,1:06:55,1:07:51,0:00:56,,,설문,1:12:56,1:15:03,0:02:07,,,설문,1:08:35,1:10:02,0:01:27
,조작,1:12:59,1:14:02,0:01:03,,,조작,1:07:58,1:08:53,0:00:55,,,조작,,,0:00:00,,,조작,,,0:00:00
,설문,1:14:07,1:15:19,0:01:12,,,설문,1:09:00,1:09:54,0:00:54,,,설문,,,0:00:00,,,설문,,,0:00:00
,총 조작 시간,,,0:04:01,,,총 조작 시간,,,0:03:24,,,총 조작 시간,,,0:02:41,,,총 조작 시간,,,0:03:00
,총 설문 시간,,,0:01:41,,,총 설문 시간,,,0:01:50,,,총 설문 시간,,,0:02:07,,,총 설문 시간,,,0:01:27
,,,,,,,,,,,,,,,,,,,,,,
6월 2일,,,,,,,,,,,,,,,,,,,,,,
p007,,,,,,p009,,,,,,p003,,,,,,,,,,
T1(s3),시간 종류,시작 시간,종료 시간,소요시간,,R4(s3),시간 종류,시작 시간,종료 시간,소요 시간,,R4(s4),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T4(s5),시간 종류,시작 시간,종료 시간,소요시간,,R2(s5),시간 종류,시작 시간,종료 시간,소요 시간,,R5(s3),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T5(s2),시간 종류,시작 시간,종료 시간,소요시간,,R1(s1),시간 종류,시작 시간,종료 시간,소요 시간,,R1(s1),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T2(s1),시간 종류,시작 시간,종료 시간,소요시간,,R5(s4),시간 종류,시작 시간,종료 시간,소요 시간,,R3(s5),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T3(s4),시간 종류,시작 시간,종료 시간,소요시간,,R3(s2),시간 종류,시작 시간,종료 시간,소요 시간,,R2(s2),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R5(s4),시간 종류,시작 시간,종료 시간,소요 시간,,T1(s4),시간 종류,시작 시간,종료 시간,소요시간,,T3(s4),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R3(s1),시간 종류,시작 시간,종료 시간,소요 시간,,T3(s5),시간 종류,시작 시간,종료 시간,소요시간,,T1(s2),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R4(s2),시간 종류,시작 시간,종료 시간,소요 시간,,T5(s2),시간 종류,시작 시간,종료 시간,소요시간,,T2(s1),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R1(s3),시간 종류,시작 시간,종료 시간,소요 시간,,T4(s1),시간 종류,시작 시간,종료 시간,소요시간,,T4(s5),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R2(s5),시간 종류,시작 시간,종료 시간,소요 시간,,T2(s3),시간 종류,시작 시간,종료 시간,소요시간,,T5(s3),시간 종류,시작 시간,종료 시간,소요시간,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,조작,,,,,,조작,,,,,,조작,,,,,,,,,
,설문,,,,,,설문,,,,,,설문,,,,,,,,,
,총 조작 시간,,,,,,총 조작 시간,,,,,,총 조작 시간,,,,,,,,,
,총 설문 시간,,,,,,총 설문 시간,,,,,,총 설문 시간,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6월 3일,,,,,,,,,,,,,,,,,,,,,,
p004,,,,,,p001,,,,,,,,,,,,,,,,
R2(s3),시간 종류,시작 시간,종료 시간,소요시간,,T1(s1),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:09:51,0:12:18,0:02:27,,,조작,0:12:45,0:16:35,0:03:50,,,,,,,,,,,,
,설문,0:12:25,0:14:31,0:02:06,,,설문,0:16:38,0:18:02,0:01:24,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,0:18:08,0:18:16,0:00:08,,,,,,,,,,,,
,설문,0:17:45,0:18:00,0:00:15,,,설문,0:18:23,0:19:27,0:01:04,,,,,,,,,,,,
,총 조작 시간,,,0:02:27,,,총 조작 시간,,,0:03:58,,,,,,,,,,,,
,총 설문 시간,,,0:02:21,,,총 설문 시간,,,0:02:28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R1(s4),시간 종류,시작 시간,종료 시간,소요시간,,T4(s4),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:14:42,0:17:37,0:02:55,,,조작,0:19:38,0:22:23,0:02:45,,,,,,,,,,,,
,설문,0:17:45,0:19:26,0:01:41,,,설문,0:22:30,0:22:56,0:00:26,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,0:23:03,0:24:21,0:01:18,,,,,,,,,,,,
,설문,,,0:00:00,,,설문,0:24:27,0:25:16,0:00:49,,,,,,,,,,,,
,총 조작 시간,,,0:02:55,,,총 조작 시간,,,0:04:03,,,,,,,,,,,,
,총 설문 시간,,,0:01:41,,,총 설문 시간,,,0:01:15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R4(s2),시간 종류,시작 시간,종료 시간,소요시간,,T5(s5),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:19:40,0:21:20,0:01:40,,,조작,0:28:05,0:31:54,0:03:49,,,,,,,,,,,,
,설문,0:21:27,0:21:58,0:00:31,,,설문,0:32:01,0:32:27,0:00:26,,,,,,,,,,,,
,조작,0:22:07,0:22:54,0:00:47,,,조작,0:32:30,0:32:38,0:00:08,,,,,,,,,,,,
,설문,0:23:02,0:24:06,0:01:04,,,설문,0:32:40,0:33:22,0:00:42,,,,,,,,,,,,
,총 조작 시간,,,0:02:27,,,총 조작 시간,,,0:03:57,,,,,,,,,,,,
,총 설문 시간,,,0:01:35,,,총 설문 시간,,,0:01:08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R3(s5),시간 종류,시작 시간,종료 시간,소요시간,,T3(s2),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:24:20,0:26:57,0:02:37,,,조작,0:33:30,0:36:23,0:02:53,,,,,,,,,,,,
,설문,0:27:04,0:28:18,0:01:14,,,설문,0:36:31,0:37:03,0:00:32,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,0:37:08,0:37:40,0:00:32,,,,,,,,,,,,
,설문,,,0:00:00,,,설문,0:37:45,0:38:17,0:00:32,,,,,,,,,,,,
,총 조작 시간,,,0:02:37,,,총 조작 시간,,,0:03:25,,,,,,,,,,,,
,총 설문 시간,,,0:01:14,,,총 설문 시간,,,0:01:04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
R5(s1),시간 종류,시작 시간,종료 시간,소요시간,,T2(s3),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:28:29,0:30:02,0:01:33,,,조작,0:38:35,0:42:13,0:03:38,,,,,,,,,,,,
,설문,0:30:09,0:30:48,0:00:39,,,설문,0:42:21,0:42:54,0:00:33,,,,,,,,,,,,
,조작,0:30:57,0:32:03,0:01:06,,,조작,0:42:57,0:43:06,0:00:09,,,,,,,,,,,,
,설문,0:32:11,0:33:03,0:00:52,,,설문,0:43:08,0:43:46,0:00:38,,,,,,,,,,,,
,총 조작 시간,,,0:02:39,,,총 조작 시간,,,0:03:47,,,,,,,,,,,,
,총 설문 시간,,,0:01:31,,,총 설문 시간,,,0:01:11,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T1(s5),시간 종류,시작 시간,종료 시간,소요시간,,R5(s4),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:39:03,0:42:21,0:03:18,,,조작,0:55:03,0:56:45,0:01:42,,,,,,,,,,,,
,설문,0:43:46,0:44:45,0:00:59,,,설문,0:56:50,0:57:31,0:00:41,,,,,,,,,,,,
,조작,0:44:49,0:45:05,0:00:16,,,조작,0:57:36,0:58:40,0:01:04,,,,,,,,,,,,
,설문,0:45:06,0:46:08,0:01:02,,,설문,0:58:47,0:59:30,0:00:43,,,,,,,,,,,,
,총 조작 시간,,,0:03:34,,,총 조작 시간,,,0:02:46,,,,,,,,,,,,
,총 설문 시간,,,0:02:01,,,총 설문 시간,,,0:01:24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T2(s2),시간 종류,시작 시간,종료 시간,소요시간,,R2(s1),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:46:19,0:49:31,0:03:12,,,조작,0:59:38,1:02:00,0:02:22,,,,,,,,,,,,
,설문,0:49:36,0:51:04,0:01:28,,,설문,1:02:07,1:03:32,0:01:25,,,,,,,,,,,,
,조작,,,0:00:00,,,조작,,,0:00:00,,,,,,,,,,,,
,설문,,,0:00:00,,,설문,,,0:00:00,,,,,,,,,,,,
,총 조작 시간,,,0:03:12,,,총 조작 시간,,,0:02:22,,,,,,,,,,,,
,총 설문 시간,,,0:01:28,,,총 설문 시간,,,0:01:25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T3(s1),시간 종류,시작 시간,종료 시간,소요시간,,R1(s5),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:51:17,0:54:24,0:03:07,,,조작,1:03:41,1:06:22,0:02:41,,,,,,,,,,,,
,설문,0:54:28,0:54:56,0:00:28,,,설문,1:07:08,1:08:31,0:01:23,,,,,,,,,,,,
,조작,0:55:00,0:55:06,0:00:06,,,조작,,,0:00:00,,,,,,,,,,,,
,설문,0:55:08,0:56:04,0:00:56,,,설문,,,0:00:00,,,,,,,,,,,,
,총 조작 시간,,,0:03:13,,,총 조작 시간,,,0:02:41,,,,,,,,,,,,
,총 설문 시간,,,0:01:24,,,총 설문 시간,,,0:01:23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T5(s3),시간 종류,시작 시간,종료 시간,소요시간,,R3(s2),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
,조작,0:56:16,0:59:44,0:03:28,,,조작,1:08:44,1:10:42,0:01:58,,,,,,,,,,,,
,설문,0:59:51,1:00:12,0:00:21,,,설문,1:10:49,1:11:57,0:01:08,,,,,,,,,,,,
,조작,1:00:18,1:00:41,0:00:23,,,조작,1:12:09,1:12:37,0:00:28,,,,,,,,,,,,
,설문,1:00:45,1:01:38,0:00:53,,,설문,,,0:00:00,,,,,,,,,,,,
,총 조작 시간,,,0:03:51,,,총 조작 시간,,,0:02:26,,,,,,,,,,,,
,총 설문 시간,,,0:01:14,,,총 설문 시간,,,0:01:08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
T4(s4),시간 종류,시작 시간,종료 시간,소요시간,,R4(s3),시간 종류,시작 시간,종료 시간,소요 시간,,,,,,,,,,,,
