domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
wastesorting,01,3794435593,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_23_seed_3794435593/exp_wastesorting_20260921_014258_471443.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_23_seed_3794435593/exp_wastesorting_20260921_042619_932572.txt,1,1,-3.0,0.0,-1.5525000000000002,0.0
wastesorting,01,3862245153,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_40_seed_3862245153/exp_wastesorting_20260921_014325_143440.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_40_seed_3862245153/exp_wastesorting_20260921_042722_398981.txt,1,1,-5.0,-2.0,-1.8810999999999998,-15.0
wastesorting,01,3890046989,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_15_seed_3890046989/exp_wastesorting_20260921_014245_880375.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_15_seed_3890046989/exp_wastesorting_20260921_042548_203317.txt,1,1,-5.0,0.0,-2.609,-15.0
wastesorting,01,3904873952,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_13_seed_3904873952/exp_wastesorting_20260921_014242_512411.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_13_seed_3904873952/exp_wastesorting_20260921_042541_053218.txt,1,1,-1.0,0.0,-1.2958,0.0
wastesorting,01,3940097250,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_27_seed_3940097250/exp_wastesorting_20260921_014304_618251.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_27_seed_3940097250/exp_wastesorting_20260921_042635_037404.txt,1,1,-5.0,0.0,-2.1088000000000005,0.0
wastesorting,01,3987872288,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_09_seed_3987872288/exp_wastesorting_20260921_014236_006707.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_09_seed_3987872288/exp_wastesorting_20260921_042526_887359.txt,1,1,-5.0,-2.0,-1.7180000000000002,-15.0
wastesorting,01,4001804605,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_37_seed_4001804605/exp_wastesorting_20260921_014320_399285.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_37_seed_4001804605/exp_wastesorting_20260921_042711_621822.txt,1,1,-4.0,0.0,-2.5709999999999997,0.0
wastesorting,01,4016452800,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_16_seed_4016452800/exp_wastesorting_20260921_014247_458172.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_16_seed_4016452800/exp_wastesorting_20260921_042552_078383.txt,1,1,0.0,0.0,-2.287,-20.0
wastesorting,01,4064545001,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_01_seed_4064545001/exp_wastesorting_20260921_014223_186349.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_01_seed_4064545001/exp_wastesorting_20260921_042456_280827.txt,1,1,-6.0,0.0,-2.4762000000000004,0.0
wastesorting,01,4139245423,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_05_seed_4139245423/exp_wastesorting_20260921_014229_661755.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_05_seed_4139245423/exp_wastesorting_20260921_042511_829880.txt,1,1,-6.0,-3.0,-2.3783,-15.0
wastesorting,01,481330159,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_33_seed_481330159/exp_wastesorting_20260921_014314_206755.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_33_seed_481330159/exp_wastesorting_20260921_042657_758594.txt,1,1,-9.0,0.0,-2.9181,0.0
wastesorting,01,834664221,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_31_seed_834664221/exp_wastesorting_20260921_014311_051993.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_31_seed_834664221/exp_wastesorting_20260921_042650_057945.txt,1,1,-3.0,0.0,-2.2278000000000002,0.0
wastesorting,01,973561137,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_21_seed_973561137/exp_wastesorting_20260921_014255_306410.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_21_seed_973561137/exp_wastesorting_20260921_042612_149580.txt,1,1,-2.0,0.0,-1.9572999999999998,0.0
