domain,domain_code,condition,condition_code,scenario,time_type,raw_seconds,raw_hms,video_seconds,video_hms,seconds,time_hms,source_row,source_column
분리수거,R,KnowNo,5,1,survey,91,1:31,0,,91,1:31,204,1
토마토,T,No,2,3,operation,227,3:47,226,3:46,1,0:01,204,7
토마토,T,No,2,3,survey,71,1:11,0,,71,1:11,204,7
토마토,T,ALL,1,5,operation,214,3:34,177,2:57,37,0:37,212,1
토마토,T,ALL,1,5,survey,121,2:01,0,,121,2:01,212,1
분리수거,R,KnowNo,5,4,operation,166,2:46,147,2:27,19,0:19,212,7
분리수거,R,KnowNo,5,4,survey,84,1:24,0,,84,1:24,212,7
토마토,T,No,2,2,operation,192,3:12,190,3:10,2,0:02,220,1
토마토,T,No,2,2,survey,88,1:28,0,,88,1:28,220,1
분리수거,R,No,2,1,operation,142,2:22,142,2:22,0,0:00,220,7
분리수거,R,No,2,1,survey,85,1:25,0,,85,1:25,220,7
토마토,T,Ours1,3,1,operation,193,3:13,187,3:07,6,0:06,228,1
토마토,T,Ours1,3,1,survey,84,1:24,0,,84,1:24,228,1
분리수거,R,ALL,1,5,operation,161,2:41,148,2:28,13,0:13,228,7
분리수거,R,ALL,1,5,survey,83,1:23,0,,83,1:23,228,7
토마토,T,KnowNo,5,3,operation,231,3:51,226,3:46,5,0:05,236,1
토마토,T,KnowNo,5,3,survey,74,1:14,0,,74,1:14,236,1
분리수거,R,Ours1,3,2,operation,146,2:26,141,2:21,5,0:05,236,7
분리수거,R,Ours1,3,2,survey,68,1:08,0,,68,1:08,236,7
토마토,T,Ours2,4,4,operation,231,3:51,219,3:39,12,0:12,244,1
토마토,T,Ours2,4,4,survey,86,1:26,0,,86,1:26,244,1
분리수거,R,Ours2,4,3,operation,155,2:35,146,2:26,9,0:09,244,7
분리수거,R,Ours2,4,3,survey,71,1:11,0,,71,1:11,244,7
분리수거,R,Ours2,4,4,operation,158,2:38,147,2:27,11,0:11,256,1
분리수거,R,Ours2,4,4,survey,252,4:12,0,,252,4:12,256,1
분리수거,R,ALL,1,3,operation,180,3:00,146,2:26,34,0:34,256,7
분리수거,R,ALL,1,3,survey,147,2:27,0,,147,2:27,256,7
분리수거,R,Ours1,3,3,operation,163,2:43,146,2:26,17,0:17,256,13
분리수거,R,Ours1,3,3,survey,231,3:51,0,,231,3:51,256,13
분리수거,R,No,2,2,operation,140,2:20,141,2:21,0,0:00,264,1
분리수거,R,No,2,2,survey,132,2:12,0,,132,2:12,264,1
분리수거,R,Ours2,4,1,operation,151,2:31,142,2:22,9,0:09,264,7
분리수거,R,Ours2,4,1,survey,134,2:14,0,,134,2:14,264,7
분리수거,R,KnowNo,5,5,operation,195,3:15,148,2:28,47,0:47,264,13
분리수거,R,KnowNo,5,5,survey,151,2:31,0,,151,2:31,264,13
분리수거,R,KnowNo,5,5,operation,214,3:34,148,2:28,66,1:06,272,1
분리수거,R,KnowNo,5,5,survey,165,2:45,0,,165,2:45,272,1
분리수거,R,Ours1,3,4,operation,157,2:37,147,2:27,10,0:10,272,7
분리수거,R,Ours1,3,4,survey,111,1:51,0,,111,1:51,272,7
분리수거,R,Ours2,4,4,operation,156,2:36,147,2:27,9,0:09,272,13
분리수거,R,Ours2,4,4,survey,132,2:12,0,,132,2:12,272,13
분리수거,R,ALL,1,1,operation,166,2:46,142,2:22,24,0:24,280,1
분리수거,R,ALL,1,1,survey,127,2:07,0,,127,2:07,280,1
분리수거,R,KnowNo,5,2,operation,166,2:46,141,2:21,25,0:25,280,7
분리수거,R,KnowNo,5,2,survey,94,1:34,0,,94,1:34,280,7
분리수거,R,ALL,1,1,operation,157,2:37,142,2:22,15,0:15,280,13
분리수거,R,ALL,1,1,survey,116,1:56,0,,116,1:56,280,13
분리수거,R,Ours1,3,4,operation,157,2:37,147,2:27,10,0:10,288,1
분리수거,R,Ours1,3,4,survey,91,1:31,0,,91,1:31,288,1
분리수거,R,No,2,5,operation,148,2:28,148,2:28,0,0:00,288,7
분리수거,R,No,2,5,survey,113,1:53,0,,113,1:53,288,7
분리수거,R,No,2,2,operation,143,2:23,141,2:21,2,0:02,288,13
분리수거,R,No,2,2,survey,87,1:27,0,,87,1:27,288,13
토마토,T,ALL,1,2,operation,232,3:52,190,3:10,42,0:42,296,1
토마토,T,ALL,1,2,survey,105,1:45,0,,105,1:45,296,1
토마토,T,KnowNo,5,1,operation,223,3:43,187,3:07,36,0:36,296,7
토마토,T,KnowNo,5,1,survey,76,1:16,0,,76,1:16,296,7
토마토,T,No,2,4,operation,222,3:42,219,3:39,3,0:03,296,13
토마토,T,No,2,4,survey,127,2:07,0,,127,2:07,296,13
토마토,T,KnowNo,5,1,operation,206,3:26,187,3:07,19,0:19,304,1
토마토,T,KnowNo,5,1,survey,122,2:02,0,,122,2:02,304,1
토마토,T,No,2,5,operation,191,3:11,177,2:57,14,0:14,304,7
토마토,T,No,2,5,survey,109,1:49,0,,109,1:49,304,7
토마토,T,Ours1,3,3,operation,266,4:26,226,3:46,40,0:40,304,13
토마토,T,Ours1,3,3,survey,100,1:40,0,,100,1:40,304,13
토마토,T,Ours1,3,5,operation,195,3:15,177,2:57,18,0:18,312,1
토마토,T,Ours1,3,5,survey,88,1:28,0,,88,1:28,312,1
토마토,T,ALL,1,4,operation,258,4:18,219,3:39,39,0:39,312,7
토마토,T,ALL,1,4,survey,104,1:44,0,,104,1:44,312,7
토마토,T,KnowNo,5,2,operation,204,3:24,190,3:10,14,0:14,312,13
토마토,T,KnowNo,5,2,survey,123,2:03,0,,123,2:03,312,13
토마토,T,Ours2,4,4,operation,236,3:56,219,3:39,17,0:17,320,1
토마토,T,Ours2,4,4,survey,89,1:29,0,,89,1:29,320,1
토마토,T,Ours1,3,2,operation,210,3:30,190,3:10,20,0:20,320,7
토마토,T,Ours1,3,2,survey,75,1:15,0,,75,1:15,320,7
토마토,T,Ours2,4,5,operation,197,3:17,177,2:57,20,0:20,320,13
토마토,T,Ours2,4,5,survey,82,1:22,0,,82,1:22,320,13
토마토,T,No,2,3,operation,179,2:59,226,3:46,0,0:00,328,1
토마토,T,No,2,3,survey,71,1:11,0,,71,1:11,328,1
토마토,T,Ours2,4,3,operation,240,4:00,226,3:46,14,0:14,328,7
토마토,T,Ours2,4,3,survey,67,1:07,0,,67,1:07,328,7
토마토,T,ALL,1,1,operation,219,3:39,187,3:07,32,0:32,328,13
토마토,T,ALL,1,1,survey,110,1:50,0,,110,1:50,328,13
