domain,domain_code,condition,condition_code,scenario,time_type,seconds,time_hms,source_row,source_column
토마토,T,No,2,3,operation,0,0:00,162,7
토마토,T,No,2,3,survey,0,0:00,162,7
토마토,T,KnowNo,5,3,operation,0,0:00,162,13
토마토,T,KnowNo,5,3,survey,0,0:00,162,13
분리수거,R,No,2,3,operation,147,2:27,172,1
분리수거,R,No,2,3,survey,141,2:21,172,1
토마토,T,ALL,1,1,operation,238,3:58,172,7
토마토,T,ALL,1,1,survey,148,2:28,172,7
분리수거,R,ALL,1,4,operation,175,2:55,180,1
분리수거,R,ALL,1,4,survey,101,1:41,180,1
토마토,T,Ours2,4,4,operation,243,4:03,180,7
토마토,T,Ours2,4,4,survey,75,1:15,180,7
분리수거,R,Ours2,4,2,operation,147,2:27,188,1
분리수거,R,Ours2,4,2,survey,95,1:35,188,1
토마토,T,KnowNo,5,5,operation,237,3:57,188,7
토마토,T,KnowNo,5,5,survey,68,1:08,188,7
분리수거,R,Ours1,3,5,operation,157,2:37,196,1
분리수거,R,Ours1,3,5,survey,74,1:14,196,1
토마토,T,Ours1,3,2,operation,205,3:25,196,7
토마토,T,Ours1,3,2,survey,64,1:04,196,7
분리수거,R,KnowNo,5,1,operation,159,2:39,204,1
분리수거,R,KnowNo,5,1,survey,91,1:31,204,1
토마토,T,No,2,3,operation,227,3:47,204,7
토마토,T,No,2,3,survey,71,1:11,204,7
토마토,T,ALL,1,5,operation,214,3:34,212,1
토마토,T,ALL,1,5,survey,121,2:01,212,1
분리수거,R,KnowNo,5,4,operation,166,2:46,212,7
분리수거,R,KnowNo,5,4,survey,84,1:24,212,7
토마토,T,No,2,2,operation,192,3:12,220,1
토마토,T,No,2,2,survey,88,1:28,220,1
분리수거,R,No,2,1,operation,142,2:22,220,7
분리수거,R,No,2,1,survey,85,1:25,220,7
토마토,T,Ours1,3,1,operation,193,3:13,228,1
토마토,T,Ours1,3,1,survey,84,1:24,228,1
분리수거,R,ALL,1,5,operation,161,2:41,228,7
분리수거,R,ALL,1,5,survey,83,1:23,228,7
토마토,T,KnowNo,5,3,operation,231,3:51,236,1
토마토,T,KnowNo,5,3,survey,74,1:14,236,1
분리수거,R,Ours1,3,2,operation,146,2:26,236,7
분리수거,R,Ours1,3,2,survey,68,1:08,236,7
토마토,T,Ours2,4,4,operation,231,3:51,244,1
토마토,T,Ours2,4,4,survey,86,1:26,244,1
분리수거,R,Ours2,4,3,operation,155,2:35,244,7
분리수거,R,Ours2,4,3,survey,71,1:11,244,7
분리수거,R,Ours2,4,4,operation,158,2:38,256,1
분리수거,R,Ours2,4,4,survey,252,4:12,256,1
분리수거,R,ALL,1,3,operation,180,3:00,256,7
분리수거,R,ALL,1,3,survey,147,2:27,256,7
분리수거,R,Ours1,3,3,operation,163,2:43,256,13
분리수거,R,Ours1,3,3,survey,231,3:51,256,13
분리수거,R,No,2,2,operation,140,2:20,264,1
분리수거,R,No,2,2,survey,132,2:12,264,1
분리수거,R,Ours2,4,1,operation,151,2:31,264,7
분리수거,R,Ours2,4,1,survey,134,2:14,264,7
분리수거,R,KnowNo,5,5,operation,195,3:15,264,13
분리수거,R,KnowNo,5,5,survey,151,2:31,264,13
분리수거,R,KnowNo,5,5,operation,214,3:34,272,1
분리수거,R,KnowNo,5,5,survey,165,2:45,272,1
분리수거,R,Ours1,3,4,operation,157,2:37,272,7
분리수거,R,Ours1,3,4,survey,111,1:51,272,7
분리수거,R,Ours2,4,4,operation,156,2:36,272,13
분리수거,R,Ours2,4,4,survey,132,2:12,272,13
분리수거,R,ALL,1,1,operation,166,2:46,280,1
분리수거,R,ALL,1,1,survey,127,2:07,280,1
분리수거,R,KnowNo,5,2,operation,166,2:46,280,7
분리수거,R,KnowNo,5,2,survey,94,1:34,280,7
분리수거,R,ALL,1,1,operation,157,2:37,280,13
분리수거,R,ALL,1,1,survey,116,1:56,280,13
분리수거,R,Ours1,3,4,operation,157,2:37,288,1
분리수거,R,Ours1,3,4,survey,91,1:31,288,1
분리수거,R,No,2,5,operation,148,2:28,288,7
분리수거,R,No,2,5,survey,113,1:53,288,7
분리수거,R,No,2,2,operation,143,2:23,288,13
분리수거,R,No,2,2,survey,87,1:27,288,13
토마토,T,ALL,1,2,operation,232,3:52,296,1
토마토,T,ALL,1,2,survey,105,1:45,296,1
