measure,description,domain_panel,direction,test_family,test,comparison,n,C1_mean,C1_sd,C2_mean,C2_sd,C3_mean,C3_sd,C4_mean,C4_sd,C5_mean,C5_sd,statistic,df,p,p_holm,effect_size,mean_difference,median_difference
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C2,8,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,18,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C3,6,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,10.5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C5,4,0.75,0.452267,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,0.583333,0.514929,5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Friedman,C1-C5,12,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,2,4,0.735759,,0.0416667,,
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C1,3,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,2,,1,1,0.333333,0.0833333,1
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C2,2,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,1.5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C5,2,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,1.5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C1,2,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,0,,0.5,1,1,0.166667,1
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C2,1,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,0,,1,1,1,0.0833333,1
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C3,1,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,0,,1,1,1,0.0833333,1
SAGAT_Q1,SAGAT correctness for Q1,분리수거,higher,planned,Wilcoxon signed-rank exact,C4-C5,1,0.833333,0.389249,0.916667,0.288675,0.916667,0.288675,1,0,0.916667,0.288675,0,,1,1,1,0.0833333,1
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Friedman,C1-C5,12,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,0.124224,4,0.998149,,0.00258799,,
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C3-C1,8,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,16,,1,1,-0.111111,-0.0416667,0
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C3-C2,5,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,7.5,,1,1,0,0,0.5
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C3-C5,6,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,10.5,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C4-C1,8,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,18,,1,1,0,0,0
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C4-C2,8,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,16,,1,1,0.111111,0.0416667,0
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C4-C3,7,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,12,,1,1,0.142857,0.0416667,0.5
SAGAT_Q1,SAGAT correctness for Q1,통합,higher,planned,Wilcoxon signed-rank exact,C4-C5,5,0.791667,0.257464,0.75,0.3371,0.75,0.3371,0.791667,0.257464,0.75,0.261116,6,,1,1,0.2,0.0416667,0.5
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Friedman,C1-C5,12,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,6.28571,4,0.178803,,0.130952,,
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C1,4,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,0,,0.125,0.875,-1,-0.333333,-1
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C2,3,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,0,,0.25,1,-1,-0.25,-1
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C3-C5,8,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,18,,1,1,0,0,0
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C1,3,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,0,,0.25,1,-1,-0.25,-1
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C2,4,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,2.5,,0.625,1,-0.5,-0.166667,-1
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C3,7,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,12,,1,1,0.142857,0.0833333,1
SAGAT_Q2,SAGAT correctness for Q2,토마토 수확,higher,planned,Wilcoxon signed-rank exact,C4-C5,3,1,0,0.916667,0.288675,0.666667,0.492366,0.75,0.452267,0.666667,0.492366,2,,1,1,0.333333,0.0833333,1
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Friedman,C1-C5,12,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,10.6,4,0.031447,,0.220833,,
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C1,4,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,0,,0.125,0.875,-1,-0.333333,-1
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C2,4,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,0,,0.125,0.875,-1,-0.333333,-1
SAGAT_Q2,SAGAT correctness for Q2,분리수거,higher,planned,Wilcoxon signed-rank exact,C3-C5,5,1,0,1,0,0.666667,0.492366,0.75,0.452267,0.583333,0.514929,6,,1,1,0.2,0.0833333,1
