domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
wastesorting,cp_when,1,seconds,Logged episode time (s),200,200,0,0,0,3136.2694000000006,15.681347,2.822284938246716,15.48178131817251,15.88091268182749,0.19956568182749024,0.19956568182749024,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,cp_when,1,questions_success_only,Questions (successful episodes),200,165,0,0,1,1362.0,8.254545454545454,2.7132343795231115,8.043320444573306,8.465770464517602,0.21122500997214821,0.21122500997214821,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,cp_when,1,steps_success_only,Steps (successful episodes),200,165,0,0,1,1720.0,10.424242424242424,0.8275110724446395,10.359820774624412,10.488664073860436,0.06442164961801211,0.06442164961801211,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,cp_when,1,reward,Cumulative reward,200,200,0,0,0,4420.0,22.1,9.672527536519274,21.416049018771364,22.78395098122864,0.6839509812286373,0.6839509812286373,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_when,2,success,Task success (%),200,200,0,0,0,112.0,56.00000000000001,0.49763258630718094,49.07167533465867,62.70218074881414,6.928324665341336,6.702180748814136,95% Wilson CI,01_processed/episodes.csv
wastesorting,value_when,2,questions,Questions per episode,200,200,0,0,0,146.0,0.73,0.8370203193921739,0.6708137256166864,0.7891862743833136,0.059186274383313586,0.059186274383313586,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_when,2,steps,Physical/planning steps,200,200,0,0,0,1678.0,8.39,2.879122563155022,8.18641529117259,8.59358470882741,0.2035847088274103,0.2035847088274103,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_when,2,seconds,Logged episode time (s),200,200,0,0,0,314.33189999999985,1.5716595,0.3285981048061002,1.5484241051806558,1.5948948948193442,0.023235394819344224,0.023235394819344224,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_when,2,questions_success_only,Questions (successful episodes),200,112,0,0,1,102.0,0.9107142857142857,0.895972685279553,0.8260528247586986,0.9953757466698728,0.08466146095558713,0.08466146095558713,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_when,2,steps_success_only,Steps (successful episodes),200,112,0,0,1,1161.0,10.366071428571429,0.8053373275020915,10.289974203925432,10.442168653217426,0.07609722464599677,0.07609722464599677,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_when,2,reward,Cumulative reward,200,200,0,0,0,3320.0,16.6,11.774258610593948,15.767434189300493,17.432565810699508,0.8325658106995082,0.8325658106995064,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_what,3,success,Task success (%),200,200,0,0,0,200.0,100.0,0.0,98.11546736227335,100,1.8845326377266503,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,value_what,3,questions,Questions per episode,200,200,0,0,0,2567.0,12.835,3.0814365572377773,12.617109531458105,13.052890468541896,0.21789046854189564,0.21789046854189564,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_what,3,steps,Physical/planning steps,200,200,0,0,0,2137.0,10.685,1.0541971629118803,10.61045700373974,10.759542996260262,0.07454299626026106,0.07454299626026106,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_what,3,seconds,Logged episode time (s),200,200,0,0,0,562.1803000000003,2.8109015,0.5197523150431497,2.774149461349558,2.847653538650442,0.036752038650441854,0.036752038650441854,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_what,3,questions_success_only,Questions (successful episodes),200,200,0,0,1,2567.0,12.835,3.0814365572377773,12.617109531458105,13.052890468541896,0.21789046854189564,0.21789046854189564,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_what,3,steps_success_only,Steps (successful episodes),200,200,0,0,1,2137.0,10.685,1.0541971629118803,10.61045700373974,10.759542996260262,0.07454299626026106,0.07454299626026106,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,value_what,3,reward,Cumulative reward,200,200,0,0,0,5645.0,28.225,4.959572744606659,27.874305248050067,28.575694751949936,0.35069475194993416,0.35069475194993416,mean +/- 1 SE,01_processed/episodes.csv
