figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,random,Random,tomato,Tomato,20,17.600000,10.000000,31.000000,4.309109,17.600000
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,knowno_gpt4,KnowNo,waste,Waste,77,2.610390,0.000000,6.000000,1.237100,2.610390
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,knowno_gpt4,KnowNo,tomato,Tomato,84,2.857143,1.000000,6.000000,0.983513,2.857143
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,ours,Ours,waste,Waste,183,8.491803,4.000000,21.000000,3.347738,8.491803
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,ours,Ours,tomato,Tomato,169,28.769231,11.000000,83.000000,14.389563,28.769231
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,all,All,waste,Waste,5,8.400000,6.000000,14.000000,3.577709,8.400000
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,all,All,tomato,Tomato,37,41.621622,10.000000,179.000000,41.113901,41.621622
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,no,No,waste,Waste,173,0.000000,0.000000,0.000000,0.000000,0.000000
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,no,No,tomato,Tomato,197,0.000000,0.000000,0.000000,0.000000,0.000000
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,random,Random,waste,Waste,20,5.600000,0.000000,14.000000,3.168928,5.600000
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,random,Random,tomato,Tomato,180,7.944444,0.000000,46.000000,7.606761,7.944444
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,knowno_gpt4,KnowNo,waste,Waste,123,1.723577,0.000000,6.000000,1.196311,1.723577
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,knowno_gpt4,KnowNo,tomato,Tomato,116,1.594828,0.000000,5.000000,1.364000,1.594828
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,ours,Ours,waste,Waste,17,6.647059,4.000000,14.000000,3.101233,6.647059
policy_compare_total_average_question_failure_only,average_question_failure_only,Average Query Number,ours,Ours,tomato,Tomato,31,19.451613,6.000000,72.000000,16.873725,19.451613
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,all,All,waste,Waste,1,1.000000,1.000000,1.000000,,1.000000
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,all,All,tomato,Tomato,1,1.000000,1.000000,1.000000,,1.000000
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,no,No,waste,Waste,1,0.000000,0.000000,0.000000,,0.000000
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,no,No,tomato,Tomato,1,0.000000,0.000000,0.000000,,0.000000
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,random,Random,waste,Waste,1,0.388821,0.388821,0.388821,,0.388821
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,random,Random,tomato,Tomato,1,0.478004,0.478004,0.478004,,0.478004
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,knowno_gpt4,KnowNo,waste,Waste,1,0.285615,0.285615,0.285615,,0.285615
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,knowno_gpt4,KnowNo,tomato,Tomato,1,0.198043,0.198043,0.198043,,0.198043
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,ours,Ours,waste,Waste,1,0.383536,0.383536,0.383536,,0.383536
policy_compare_total_query_probability_per_step,query_probability_per_step,Query Probability per Step,ours,Ours,tomato,Tomato,1,0.482813,0.482813,0.482813,,0.482813
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,all,All,waste,Waste,1,1.000000,1.000000,1.000000,,1.000000
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,all,All,tomato,Tomato,1,1.000000,1.000000,1.000000,,1.000000
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,no,No,waste,Waste,1,0.000000,0.000000,0.000000,,0.000000
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,no,No,tomato,Tomato,1,0.000000,0.000000,0.000000,,0.000000
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,random,Random,waste,Waste,1,0.392234,0.392234,0.392234,,0.392234
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,random,Random,tomato,Tomato,1,0.549521,0.549521,0.549521,,0.549521
policy_compare_total_query_probability_per_step_success_only,query_probability_per_step_success_only,Query Probability per Step,knowno_gpt4,KnowNo,waste,Waste,1,0.261719,0.261719,0.261719,,0.261719
