domain,policy,scene,run_index,success,planning_length,question_count,query_probability,elapsed_seconds,reward,source_file
tomato,all,scene_04,8,True,20.0,30.0,1.5,16.3287,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,9,True,20.0,30.0,1.5,16.4467,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,10,True,20.0,30.0,1.5,16.6786,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,11,True,20.0,30.0,1.5,16.5018,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,12,True,20.0,30.0,1.5,17.0387,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,13,True,20.0,30.0,1.5,16.7829,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,14,True,20.0,30.0,1.5,17.1454,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,15,True,20.0,30.0,1.5,16.728,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,16,True,20.0,30.0,1.5,17.175,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,17,True,20.0,30.0,1.5,16.5379,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,18,True,20.0,30.0,1.5,16.3727,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,19,True,20.0,30.0,1.5,16.9494,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,20,True,20.0,30.0,1.5,16.9255,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,21,True,20.0,30.0,1.5,16.5656,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,22,True,20.0,30.0,1.5,16.5216,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,23,True,20.0,30.0,1.5,16.8617,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,24,True,20.0,30.0,1.5,16.574,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,25,True,20.0,30.0,1.5,16.7054,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,26,True,20.0,30.0,1.5,16.8672,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,27,True,20.0,30.0,1.5,17.3176,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,28,True,20.0,30.0,1.5,17.2835,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,29,True,20.0,30.0,1.5,17.0501,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,30,True,20.0,30.0,1.5,17.14,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,31,True,20.0,30.0,1.5,16.7591,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,32,True,20.0,30.0,1.5,16.6289,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,33,True,20.0,30.0,1.5,16.9754,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,34,True,20.0,30.0,1.5,16.9977,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,35,True,20.0,30.0,1.5,16.9759,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,36,True,20.0,30.0,1.5,16.358,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,37,True,20.0,30.0,1.5,16.4147,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,38,True,20.0,30.0,1.5,16.9492,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,39,True,20.0,30.0,1.5,16.6542,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,40,True,20.0,30.0,1.5,16.6723,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,1,True,27.0,57.0,2.111111111111111,23.6679,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,2,False,5.0,10.0,2.0,4.1662,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,3,True,17.0,23.0,1.3529411764705883,15.4718,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,4,True,16.0,32.0,2.0,14.5614,15.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,5,True,18.0,29.0,1.6111111111111112,16.0226,15.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,6,True,14.0,22.0,1.5714285714285714,12.8048,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,7,True,34.0,67.0,1.9705882352941178,31.9841,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,8,True,18.0,27.0,1.5,16.0498,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,9,False,14.0,22.0,1.5714285714285714,12.4332,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,10,True,20.0,29.0,1.45,18.385,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,11,True,25.0,53.0,2.12,24.0054,15.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,12,True,20.0,31.0,1.55,17.7538,15.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,13,True,15.0,27.0,1.8,13.8142,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,14,True,25.0,50.0,2.0,23.2143,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,15,True,23.0,42.0,1.826086956521739,21.3795,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,16,True,16.0,27.0,1.6875,14.7036,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,17,True,23.0,41.0,1.7826086956521738,21.1765,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,18,False,7.0,13.0,1.8571428571428572,5.6591,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,19,True,40.0,90.0,2.25,37.349,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,20,True,41.0,104.0,2.5365853658536586,39.2737,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,21,True,20.0,36.0,1.8,17.7758,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,22,False,12.0,22.0,1.8333333333333333,9.2629,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,23,True,18.0,38.0,2.111111111111111,16.5794,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,24,True,28.0,39.0,1.3928571428571428,25.8546,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,25,True,17.0,30.0,1.7647058823529411,16.0816,15.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,26,True,20.0,31.0,1.55,18.4897,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,27,True,17.0,34.0,2.0,15.4714,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,28,True,17.0,23.0,1.3529411764705883,15.8747,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,29,True,18.0,33.0,1.8333333333333333,16.7597,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,30,True,26.0,39.0,1.5,23.2819,0.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,31,True,27.0,54.0,2.0,25.4606,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,32,False,26.0,56.0,2.1538461538461537,24.2386,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,33,True,33.0,86.0,2.606060606060606,31.4756,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_05,34,True,22.0,33.0,1.5,20.4034,0.0,logs/tomato/scene_metrics/step_50_thres_all
