global_index,pair_id,domain,scene,iteration,threshold,seed
283,26,tomato,1,26,0.7,800417014
284,26,tomato,1,26,0.8,800417014
285,26,tomato,1,26,0.9,800417014
286,26,tomato,1,26,1.0,800417014
287,27,tomato,1,27,0.0,2116551060
288,27,tomato,1,27,0.1,2116551060
289,27,tomato,1,27,0.2,2116551060
290,27,tomato,1,27,0.3,2116551060
291,27,tomato,1,27,0.4,2116551060
292,27,tomato,1,27,0.5,2116551060
293,27,tomato,1,27,0.6,2116551060
294,27,tomato,1,27,0.7,2116551060
295,27,tomato,1,27,0.8,2116551060
296,27,tomato,1,27,0.9,2116551060
297,27,tomato,1,27,1.0,2116551060
298,28,tomato,1,28,0.0,416732093
299,28,tomato,1,28,0.1,416732093
300,28,tomato,1,28,0.2,416732093
301,28,tomato,1,28,0.3,416732093
302,28,tomato,1,28,0.4,416732093
303,28,tomato,1,28,0.5,416732093
304,28,tomato,1,28,0.6,416732093
305,28,tomato,1,28,0.7,416732093
306,28,tomato,1,28,0.8,416732093
307,28,tomato,1,28,0.9,416732093
308,28,tomato,1,28,1.0,416732093
309,29,tomato,1,29,0.0,4070238827
310,29,tomato,1,29,0.1,4070238827
311,29,tomato,1,29,0.2,4070238827
312,29,tomato,1,29,0.3,4070238827
313,29,tomato,1,29,0.4,4070238827
314,29,tomato,1,29,0.5,4070238827
315,29,tomato,1,29,0.6,4070238827
316,29,tomato,1,29,0.7,4070238827
317,29,tomato,1,29,0.8,4070238827
318,29,tomato,1,29,0.9,4070238827
319,29,tomato,1,29,1.0,4070238827
320,30,tomato,1,30,0.0,1699834104
321,30,tomato,1,30,0.1,1699834104
322,30,tomato,1,30,0.2,1699834104
323,30,tomato,1,30,0.3,1699834104
324,30,tomato,1,30,0.4,1699834104
325,30,tomato,1,30,0.5,1699834104
326,30,tomato,1,30,0.6,1699834104
327,30,tomato,1,30,0.7,1699834104
328,30,tomato,1,30,0.8,1699834104
329,30,tomato,1,30,0.9,1699834104
330,30,tomato,1,30,1.0,1699834104
331,31,tomato,1,31,0.0,2187974157
332,31,tomato,1,31,0.1,2187974157
333,31,tomato,1,31,0.2,2187974157
334,31,tomato,1,31,0.3,2187974157
335,31,tomato,1,31,0.4,2187974157
336,31,tomato,1,31,0.5,2187974157
337,31,tomato,1,31,0.6,2187974157
338,31,tomato,1,31,0.7,2187974157
339,31,tomato,1,31,0.8,2187974157
340,31,tomato,1,31,0.9,2187974157
341,31,tomato,1,31,1.0,2187974157
342,32,tomato,1,32,0.0,3683532378
343,32,tomato,1,32,0.1,3683532378
344,32,tomato,1,32,0.2,3683532378
345,32,tomato,1,32,0.3,3683532378
346,32,tomato,1,32,0.4,3683532378
347,32,tomato,1,32,0.5,3683532378
348,32,tomato,1,32,0.6,3683532378
349,32,tomato,1,32,0.7,3683532378
350,32,tomato,1,32,0.8,3683532378
351,32,tomato,1,32,0.9,3683532378
352,32,tomato,1,32,1.0,3683532378
353,33,tomato,1,33,0.0,3339285364
354,33,tomato,1,33,0.1,3339285364
355,33,tomato,1,33,0.2,3339285364
356,33,tomato,1,33,0.3,3339285364
357,33,tomato,1,33,0.4,3339285364
358,33,tomato,1,33,0.5,3339285364
359,33,tomato,1,33,0.6,3339285364
360,33,tomato,1,33,0.7,3339285364
361,33,tomato,1,33,0.8,3339285364
362,33,tomato,1,33,0.9,3339285364
363,33,tomato,1,33,1.0,3339285364
364,34,tomato,1,34,0.0,3660905948
365,34,tomato,1,34,0.1,3660905948
366,34,tomato,1,34,0.2,3660905948
367,34,tomato,1,34,0.3,3660905948
368,34,tomato,1,34,0.4,3660905948
369,34,tomato,1,34,0.5,3660905948
370,34,tomato,1,34,0.6,3660905948
371,34,tomato,1,34,0.7,3660905948
372,34,tomato,1,34,0.8,3660905948
373,34,tomato,1,34,0.9,3660905948
374,34,tomato,1,34,1.0,3660905948
375,35,tomato,1,35,0.0,1594824363
376,35,tomato,1,35,0.1,1594824363
377,35,tomato,1,35,0.2,1594824363
378,35,tomato,1,35,0.3,1594824363
379,35,tomato,1,35,0.4,1594824363
380,35,tomato,1,35,0.5,1594824363
381,35,tomato,1,35,0.6,1594824363
382,35,tomato,1,35,0.7,1594824363
383,35,tomato,1,35,0.8,1594824363
384,35,tomato,1,35,0.9,1594824363
385,35,tomato,1,35,1.0,1594824363
386,36,tomato,1,36,0.0,4010222780
387,36,tomato,1,36,0.1,4010222780
388,36,tomato,1,36,0.2,4010222780
389,36,tomato,1,36,0.3,4010222780
390,36,tomato,1,36,0.4,4010222780
391,36,tomato,1,36,0.5,4010222780
392,36,tomato,1,36,0.6,4010222780
393,36,tomato,1,36,0.7,4010222780
394,36,tomato,1,36,0.8,4010222780
395,36,tomato,1,36,0.9,4010222780
396,36,tomato,1,36,1.0,4010222780
397,37,tomato,1,37,0.0,3702366653
398,37,tomato,1,37,0.1,3702366653
399,37,tomato,1,37,0.2,3702366653
400,37,tomato,1,37,0.3,3702366653
401,37,tomato,1,37,0.4,3702366653
402,37,tomato,1,37,0.5,3702366653
403,37,tomato,1,37,0.6,3702366653
404,37,tomato,1,37,0.7,3702366653
405,37,tomato,1,37,0.8,3702366653
406,37,tomato,1,37,0.9,3702366653
407,37,tomato,1,37,1.0,3702366653
408,38,tomato,1,38,0.0,1683949207
409,38,tomato,1,38,0.1,1683949207
410,38,tomato,1,38,0.2,1683949207
411,38,tomato,1,38,0.3,1683949207
412,38,tomato,1,38,0.4,1683949207
413,38,tomato,1,38,0.5,1683949207
414,38,tomato,1,38,0.6,1683949207
415,38,tomato,1,38,0.7,1683949207
416,38,tomato,1,38,0.8,1683949207
417,38,tomato,1,38,0.9,1683949207
418,38,tomato,1,38,1.0,1683949207
419,39,tomato,1,39,0.0,3643995620
420,39,tomato,1,39,0.1,3643995620
421,39,tomato,1,39,0.2,3643995620
422,39,tomato,1,39,0.3,3643995620
423,39,tomato,1,39,0.4,3643995620
424,39,tomato,1,39,0.5,3643995620
425,39,tomato,1,39,0.6,3643995620
426,39,tomato,1,39,0.7,3643995620
427,39,tomato,1,39,0.8,3643995620
428,39,tomato,1,39,0.9,3643995620
429,39,tomato,1,39,1.0,3643995620
430,40,tomato,1,40,0.0,32280887
431,40,tomato,1,40,0.1,32280887
432,40,tomato,1,40,0.2,32280887
433,40,tomato,1,40,0.3,32280887
434,40,tomato,1,40,0.4,32280887
435,40,tomato,1,40,0.5,32280887
436,40,tomato,1,40,0.6,32280887
437,40,tomato,1,40,0.7,32280887
438,40,tomato,1,40,0.8,32280887
439,40,tomato,1,40,0.9,32280887
440,40,tomato,1,40,1.0,32280887
441,41,tomato,2,1,0.0,981565962
442,41,tomato,2,1,0.1,981565962
443,41,tomato,2,1,0.2,981565962
444,41,tomato,2,1,0.3,981565962
445,41,tomato,2,1,0.4,981565962
446,41,tomato,2,1,0.5,981565962
447,41,tomato,2,1,0.6,981565962
448,41,tomato,2,1,0.7,981565962
449,41,tomato,2,1,0.8,981565962
450,41,tomato,2,1,0.9,981565962
451,41,tomato,2,1,1.0,981565962
452,42,tomato,2,2,0.0,2424186095
453,42,tomato,2,2,0.1,2424186095
454,42,tomato,2,2,0.2,2424186095
455,42,tomato,2,2,0.3,2424186095
456,42,tomato,2,2,0.4,2424186095
457,42,tomato,2,2,0.5,2424186095
458,42,tomato,2,2,0.6,2424186095
459,42,tomato,2,2,0.7,2424186095
460,42,tomato,2,2,0.8,2424186095
461,42,tomato,2,2,0.9,2424186095
462,42,tomato,2,2,1.0,2424186095
463,43,tomato,2,3,0.0,987823867
464,43,tomato,2,3,0.1,987823867
465,43,tomato,2,3,0.2,987823867
466,43,tomato,2,3,0.3,987823867
467,43,tomato,2,3,0.4,987823867
468,43,tomato,2,3,0.5,987823867
469,43,tomato,2,3,0.6,987823867
470,43,tomato,2,3,0.7,987823867
471,43,tomato,2,3,0.8,987823867
472,43,tomato,2,3,0.9,987823867
473,43,tomato,2,3,1.0,987823867
474,44,tomato,2,4,0.0,568464819
475,44,tomato,2,4,0.1,568464819
476,44,tomato,2,4,0.2,568464819
477,44,tomato,2,4,0.3,568464819
478,44,tomato,2,4,0.4,568464819
479,44,tomato,2,4,0.5,568464819
480,44,tomato,2,4,0.6,568464819
481,44,tomato,2,4,0.7,568464819
482,44,tomato,2,4,0.8,568464819
483,44,tomato,2,4,0.9,568464819
484,44,tomato,2,4,1.0,568464819
485,45,tomato,2,5,0.0,261980674
486,45,tomato,2,5,0.1,261980674
487,45,tomato,2,5,0.2,261980674
488,45,tomato,2,5,0.3,261980674
489,45,tomato,2,5,0.4,261980674
490,45,tomato,2,5,0.5,261980674
491,45,tomato,2,5,0.6,261980674
492,45,tomato,2,5,0.7,261980674
493,45,tomato,2,5,0.8,261980674
494,45,tomato,2,5,0.9,261980674
495,45,tomato,2,5,1.0,261980674
496,46,tomato,2,6,0.0,3200583238
497,46,tomato,2,6,0.1,3200583238
498,46,tomato,2,6,0.2,3200583238
499,46,tomato,2,6,0.3,3200583238
500,46,tomato,2,6,0.4,3200583238
501,46,tomato,2,6,0.5,3200583238
502,46,tomato,2,6,0.6,3200583238
503,46,tomato,2,6,0.7,3200583238
504,46,tomato,2,6,0.8,3200583238
505,46,tomato,2,6,0.9,3200583238
506,46,tomato,2,6,1.0,3200583238
507,47,tomato,2,7,0.0,1817673558
508,47,tomato,2,7,0.1,1817673558
509,47,tomato,2,7,0.2,1817673558
510,47,tomato,2,7,0.3,1817673558
511,47,tomato,2,7,0.4,1817673558
512,47,tomato,2,7,0.5,1817673558
513,47,tomato,2,7,0.6,1817673558
514,47,tomato,2,7,0.7,1817673558
515,47,tomato,2,7,0.8,1817673558
516,47,tomato,2,7,0.9,1817673558
517,47,tomato,2,7,1.0,1817673558
518,48,tomato,2,8,0.0,1159079009
519,48,tomato,2,8,0.1,1159079009
520,48,tomato,2,8,0.2,1159079009
521,48,tomato,2,8,0.3,1159079009
522,48,tomato,2,8,0.4,1159079009
523,48,tomato,2,8,0.5,1159079009
524,48,tomato,2,8,0.6,1159079009
525,48,tomato,2,8,0.7,1159079009
526,48,tomato,2,8,0.8,1159079009
527,48,tomato,2,8,0.9,1159079009
528,48,tomato,2,8,1.0,1159079009
529,49,tomato,2,9,0.0,1972320102
530,49,tomato,2,9,0.1,1972320102
531,49,tomato,2,9,0.2,1972320102
532,49,tomato,2,9,0.3,1972320102
533,49,tomato,2,9,0.4,1972320102
534,49,tomato,2,9,0.5,1972320102
535,49,tomato,2,9,0.6,1972320102
536,49,tomato,2,9,0.7,1972320102
537,49,tomato,2,9,0.8,1972320102
538,49,tomato,2,9,0.9,1972320102
539,49,tomato,2,9,1.0,1972320102
540,50,tomato,2,10,0.0,3351217580
541,50,tomato,2,10,0.1,3351217580
542,50,tomato,2,10,0.2,3351217580
543,50,tomato,2,10,0.3,3351217580
544,50,tomato,2,10,0.4,3351217580
545,50,tomato,2,10,0.5,3351217580
546,50,tomato,2,10,0.6,3351217580
547,50,tomato,2,10,0.7,3351217580
548,50,tomato,2,10,0.8,3351217580
549,50,tomato,2,10,0.9,3351217580
550,50,tomato,2,10,1.0,3351217580
551,51,tomato,2,11,0.0,2241948485
552,51,tomato,2,11,0.1,2241948485
553,51,tomato,2,11,0.2,2241948485
554,51,tomato,2,11,0.3,2241948485
555,51,tomato,2,11,0.4,2241948485
556,51,tomato,2,11,0.5,2241948485
557,51,tomato,2,11,0.6,2241948485
558,51,tomato,2,11,0.7,2241948485
559,51,tomato,2,11,0.8,2241948485
560,51,tomato,2,11,0.9,2241948485
561,51,tomato,2,11,1.0,2241948485
562,52,tomato,2,12,0.0,3653069456
563,52,tomato,2,12,0.1,3653069456
564,52,tomato,2,12,0.2,3653069456
565,52,tomato,2,12,0.3,3653069456
566,52,tomato,2,12,0.4,3653069456
567,52,tomato,2,12,0.5,3653069456
568,52,tomato,2,12,0.6,3653069456
569,52,tomato,2,12,0.7,3653069456
570,52,tomato,2,12,0.8,3653069456
571,52,tomato,2,12,0.9,3653069456
572,52,tomato,2,12,1.0,3653069456
573,53,tomato,2,13,0.0,4289017073
574,53,tomato,2,13,0.1,4289017073
575,53,tomato,2,13,0.2,4289017073
576,53,tomato,2,13,0.3,4289017073
577,53,tomato,2,13,0.4,4289017073
578,53,tomato,2,13,0.5,4289017073
579,53,tomato,2,13,0.6,4289017073
580,53,tomato,2,13,0.7,4289017073
581,53,tomato,2,13,0.8,4289017073
582,53,tomato,2,13,0.9,4289017073
583,53,tomato,2,13,1.0,4289017073
584,54,tomato,2,14,0.0,2962513311
585,54,tomato,2,14,0.1,2962513311
586,54,tomato,2,14,0.2,2962513311
587,54,tomato,2,14,0.3,2962513311
588,54,tomato,2,14,0.4,2962513311
589,54,tomato,2,14,0.5,2962513311
590,54,tomato,2,14,0.6,2962513311
591,54,tomato,2,14,0.7,2962513311
592,54,tomato,2,14,0.8,2962513311
593,54,tomato,2,14,0.9,2962513311
594,54,tomato,2,14,1.0,2962513311
595,55,tomato,2,15,0.0,2309615746
596,55,tomato,2,15,0.1,2309615746
597,55,tomato,2,15,0.2,2309615746
598,55,tomato,2,15,0.3,2309615746
599,55,tomato,2,15,0.4,2309615746
600,55,tomato,2,15,0.5,2309615746
601,55,tomato,2,15,0.6,2309615746
602,55,tomato,2,15,0.7,2309615746
603,55,tomato,2,15,0.8,2309615746
604,55,tomato,2,15,0.9,2309615746
605,55,tomato,2,15,1.0,2309615746
606,56,tomato,2,16,0.0,3942002610
607,56,tomato,2,16,0.1,3942002610
608,56,tomato,2,16,0.2,3942002610
609,56,tomato,2,16,0.3,3942002610
610,56,tomato,2,16,0.4,3942002610
611,56,tomato,2,16,0.5,3942002610
612,56,tomato,2,16,0.6,3942002610
613,56,tomato,2,16,0.7,3942002610
614,56,tomato,2,16,0.8,3942002610
615,56,tomato,2,16,0.9,3942002610
616,56,tomato,2,16,1.0,3942002610
617,57,tomato,2,17,0.0,3409067863
618,57,tomato,2,17,0.1,3409067863
619,57,tomato,2,17,0.2,3409067863
620,57,tomato,2,17,0.3,3409067863
621,57,tomato,2,17,0.4,3409067863
622,57,tomato,2,17,0.5,3409067863
623,57,tomato,2,17,0.6,3409067863
624,57,tomato,2,17,0.7,3409067863
625,57,tomato,2,17,0.8,3409067863
626,57,tomato,2,17,0.9,3409067863
627,57,tomato,2,17,1.0,3409067863
628,58,tomato,2,18,0.0,354558283
629,58,tomato,2,18,0.1,354558283
630,58,tomato,2,18,0.2,354558283
631,58,tomato,2,18,0.3,354558283
632,58,tomato,2,18,0.4,354558283
633,58,tomato,2,18,0.5,354558283
634,58,tomato,2,18,0.6,354558283
635,58,tomato,2,18,0.7,354558283
636,58,tomato,2,18,0.8,354558283
637,58,tomato,2,18,0.9,354558283
638,58,tomato,2,18,1.0,354558283
639,59,tomato,2,19,0.0,4158983317
640,59,tomato,2,19,0.1,4158983317
641,59,tomato,2,19,0.2,4158983317
642,59,tomato,2,19,0.3,4158983317
643,59,tomato,2,19,0.4,4158983317
644,59,tomato,2,19,0.5,4158983317
645,59,tomato,2,19,0.6,4158983317
646,59,tomato,2,19,0.7,4158983317
647,59,tomato,2,19,0.8,4158983317
648,59,tomato,2,19,0.9,4158983317
649,59,tomato,2,19,1.0,4158983317
650,60,tomato,2,20,0.0,2092986968
651,60,tomato,2,20,0.1,2092986968
652,60,tomato,2,20,0.2,2092986968
653,60,tomato,2,20,0.3,2092986968
654,60,tomato,2,20,0.4,2092986968
655,60,tomato,2,20,0.5,2092986968
656,60,tomato,2,20,0.6,2092986968
657,60,tomato,2,20,0.7,2092986968
658,60,tomato,2,20,0.8,2092986968
659,60,tomato,2,20,0.9,2092986968
660,60,tomato,2,20,1.0,2092986968
661,61,tomato,2,21,0.0,159024432
662,61,tomato,2,21,0.1,159024432
663,61,tomato,2,21,0.2,159024432
664,61,tomato,2,21,0.3,159024432
665,61,tomato,2,21,0.4,159024432
666,61,tomato,2,21,0.5,159024432
667,61,tomato,2,21,0.6,159024432
668,61,tomato,2,21,0.7,159024432
669,61,tomato,2,21,0.8,159024432
670,61,tomato,2,21,0.9,159024432
671,61,tomato,2,21,1.0,159024432
672,62,tomato,2,22,0.0,1019822566
