domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
tomato,scene_02,scripts/baseline/logs/tomato/scene_02/knowno_tomato_20260616_171751.txt,2026-06-16 17:17:51,gpt-4o,v2,262708448,0.92,True,success,15,15,3,12,2,1,5.0,5.0,1.4666666666666666,3.3333333333333335,46.469677215005504,31244,6842,38086
tomato,scene_02,scripts/baseline/logs/tomato/scene_02/knowno_tomato_20260616_171858.txt,2026-06-16 17:18:58,gpt-4o,v2,3713646227,0.92,True,success,14,14,2,12,2,0,5.0,5.0,1.3571428571428572,3.5,36.113046197002404,29115,6338,35453
tomato,scene_02,scripts/baseline/logs/tomato/scene_02/knowno_tomato_20260616_171952.txt,2026-06-16 17:19:52,gpt-4o,v2,3382406607,0.92,True,success,14,14,4,10,1,0,5.0,5.0,1.4285714285714286,2.5,33.47367704399221,29102,6325,35427
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163149.txt,2026-06-16 16:31:49,gpt-4o,v2,3252925501,0.92,True,success,14,14,1,13,0,0,5.0,5.0,1.1428571428571428,3.0,33.798657218008884,29101,6327,35428
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163228.txt,2026-06-16 16:32:28,gpt-4o,v2,4115813892,0.92,True,success,13,13,1,12,1,0,5.0,5.0,1.1538461538461537,3.0,33.6244559980114,26981,5830,32811
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163341.txt,2026-06-16 16:33:41,gpt-4o,v2,2839847010,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,5,5,1,4,0,0,5.0,5.0,1.2,2.0,11.933004721999168,10244,2109,12353
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163356.txt,2026-06-16 16:33:56,gpt-4o,v2,2070902665,0.92,False,non-executable action selected: an option not listed here,5,6,1,5,0,0,5.0,5.0,1.1666666666666667,2.0,17.503568890009774,12303,2541,14844
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163418.txt,2026-06-16 16:34:18,gpt-4o,v2,3417599610,0.92,False,Dead-end: true unripe tomato tomato2 is held.,8,8,2,6,1,1,5.0,5.0,1.375,2.5,25.18209706300695,16483,3467,19950
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163449.txt,2026-06-16 16:34:49,gpt-4o,v2,2044210200,0.92,True,success,13,13,2,11,1,0,5.0,5.0,1.2307692307692308,2.5,113.46379084700311,26980,5830,32810
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163647.txt,2026-06-16 16:36:47,gpt-4o,v2,150854256,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,6,6,1,5,0,1,5.0,5.0,1.1666666666666667,2.0,15.624141499007237,12323,2561,14884
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163708.txt,2026-06-16 16:37:08,gpt-4o,v2,2397622463,0.92,True,success,14,14,4,10,2,0,5.0,5.0,1.5,2.75,58.085177733999444,29116,6340,35456
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163810.txt,2026-06-16 16:38:10,gpt-4o,v2,2961969609,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,5,5,0,5,0,0,5.0,0.0,1.0,0.0,7.761481936991913,10243,2108,12351
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163822.txt,2026-06-16 16:38:22,gpt-4o,v2,2550512803,0.92,True,success,14,14,2,12,1,0,5.0,5.0,1.3571428571428572,3.5,38.05028443298943,29115,6335,35450
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163905.txt,2026-06-16 16:39:05,gpt-4o,v2,3008421872,0.92,False,Dead-end: true ripe tomato tomato3 was discarded.,11,11,2,9,1,0,5.0,5.0,1.4545454545454546,3.5,28.216165737001575,22774,4877,27651
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163938.txt,2026-06-16 16:39:38,gpt-4o,v2,134793511,0.92,False,Dead-end: true ripe tomato tomato1 was discarded.,6,6,1,5,1,0,5.0,5.0,1.3333333333333333,3.0,16.77544753300026,12322,2560,14882
tomato,scene_03,scripts/baseline/logs/tomato/scene_03/knowno_tomato_20260616_163959.txt,2026-06-16 16:39:59,gpt-4o,v2,2445921848,0.92,True,success,14,14,2,12,0,1,5.0,5.0,1.1428571428571428,2.0,32.27768984399154,29104,6327,35431
